"filename", "language", "JSON", "Markdown", "JavaScript", "PostCSS", "XML", "HTML", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\DeliveryModule\src\Components\RiderDashboard\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 214, 10, 11, 235
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\DeliveryModule\src\Components\utils\Core\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 243, 12, 16, 271
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\DeliveryModule\src\Components\utils\Socket.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 6, 1, 3, 10
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\DeliveryModule\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\DeliveryModule\src\index.css", "PostCSS", 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\DeliveryModule\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 2, 11
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\DeliveryModule\vite.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 1, 2, 9
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\FarmerModule\README.md", "Markdown", 0, 7, 0, 0, 0, 0, 0, 0, 6, 13
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\FarmerModule\eslint.config.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 2, 34
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\FarmerModule\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\FarmerModule\package-lock.json", "JSON", 2746, 0, 0, 0, 0, 0, 0, 0, 1, 2747
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\FarmerModule\package.json", "JSON", 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\FarmerModule\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\FarmerModule\src\App.css", "PostCSS", 0, 0, 0, 37, 0, 0, 0, 0, 6, 43
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\FarmerModule\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 4, 36
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\FarmerModule\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\FarmerModule\src\index.css", "PostCSS", 0, 0, 0, 61, 0, 0, 0, 0, 8, 69
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\FarmerModule\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 2, 11
"c:\Users\adity\OneDrive\Desktop\VeggieTO\frontend\FarmerModule\vite.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 1, 2, 8
"c:\Users\adity\OneDrive\Desktop\VeggieTO\package-lock.json", "JSON", 355, 0, 0, 0, 0, 0, 0, 0, 1, 356
"c:\Users\adity\OneDrive\Desktop\VeggieTO\package.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"Total", "-", 21807, 65, 2859, 127, 42, 41, 2672, 199, 698, 28510
